meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
US Olympic Team Trials - Wave II,21.55,19/06/2021,Men 50 Freestyle LCM Male,USA,United States of America,"ANDREW, Michael",M,18/04/1999,,,156,157,913,Omaha,USA
FINA Champions Swim Series 2020,21.55,18/01/2020,Men 50 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,156,158,913,Beijing,CHN
FINA Swimming World Cup 2019,21.55,11/10/2019,Men 50 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,156,159,913,Berlin,GER
18th FINA World Championships 2019,21.55,27/07/2019,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,156,160,913,Gwangju,KOR
Russian National Championships (50m),21.55,12/04/2019,Men 50 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,156,161,913,Moscow,RUS
Hancock Prospecting Australian,21.55,09/04/2017,Men 50 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,13/05/1994,,,156,162,913,Brisbane,AUS
US Olympic Team Trials - Swimming,21.55,01/07/2016,Men 50 Freestyle LCM Male,USA,United States of America,"ERVIN, Anthony",M,26/05/1981,,,156,163,913,Omaha,USA
16th FINA World Championships 2015,21.55,08/08/2015,Men 50 Freestyle LCM Male,BRA,Brazil,"FRATUS, Bruno",M,30/06/1989,,,156,164,913,Kazan,RUS
US National Championships (50m),21.55,06/08/2014,Men 50 Freestyle LCM Male,USA,United States of America,"ERVIN, Anthony",M,26/05/1981,,,156,165,913,Irvine,USA
Russian National Championships (50m),21.55,13/05/2014,Men 50 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,156,166,913,Moscow,RUS
French National Championships (50m),21.55,09/04/2013,Men 50 Freestyle LCM Male,FRA,France,"MANAUDOU, Florent",M,12/11/1990,,,156,167,913,Rennes,FRA
11th Pan Pacific Championships 2010,21.55,21/08/2010,Men 50 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,07/12/1988,,,156,168,917,Irvine,USA
World Aquatics Championships - Doha 2024,21.56,16/02/2024,Men 50 Freestyle LCM Male,UKR,Ukraine,"BUKHOV, Vladyslav",M,05/07/2002,,,169,169,912,Doha,QAT
French Elite Championships,21.56,15/06/2023,Men 50 Freestyle LCM Male,FRA,France,"MANAUDOU, Florent",M,12/11/1990,,,169,170,912,Rennes,FRA
22nd Luxembourg Euro Meet 2020,21.56,25/01/2020,Men 50 Freestyle LCM Male,FRA,France,"MANAUDOU, Florent",M,12/11/1990,,,169,171,912,Luxembourg,LUX
FINA Swimming World Cup 2019,21.56,02/08/2019,Men 50 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,169,172,912,Tokyo,JPN
18th FINA World Championships 2019,21.56,26/07/2019,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,169,173,912,Gwangju,KOR
Mare Nostrum - 37th Meeting International de Natation de Monte Carlo 2019,21.56,09/06/2019,Men 50 Freestyle LCM Male,BRA,Brazil,"FRATUS, Bruno",M,30/06/1989,,,169,174,912,Monaco,MON
Arena Pro Series Minneapolis 2015,21.56,13/11/2015,Men 50 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,07/12/1988,,,169,175,912,Minneapolis,USA
Arena Pro Series Minneapolis 2015,21.56,12/11/2015,Men 50 Freestyle LCM Male,USA,United States of America,"ADRIAN, Nathan",M,07/12/1988,,,169,176,912,Minneapolis,USA
16th FINA World Championships 2015,21.56,08/08/2015,Men 50 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,169,177,912,Kazan,RUS
13th FINA World Championships 2009,21.56,31/07/2009,Men 50 Freestyle LCM Male,SWE,Sweden,"NYSTRAND, Stefan",M,20/10/1981,,,169,178,,Rome,ITA
New South Wales State Championships,21.56,17/02/2008,Men 50 Freestyle LCM Male,AUS,Australia,"SULLIVAN, Eamon",M,30/08/1985,,,169,179,990,Sydney,AUS
World Aquatics Championships - Fukuoka 2023,21.57,29/07/2023,Men 50 Freestyle LCM Male,USA,United States of America,"ALEXY, Jack",M,19/01/2003,,,180,180,910,Fukuoka,JPN
19th FINA World Championships Budapest 2022,21.57,24/06/2022,Men 50 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,24/04/1999,,,180,181,910,Budapest,HUN
Olympic Games Tokyo 2020,21.57,01/08/2021,Men 50 Freestyle LCM Male,BRA,Brazil,"FRATUS, Bruno",M,30/06/1989,,,180,182,910,Tokyo,JPN
British Swimming Championships (50m),21.57,20/04/2019,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,180,183,910,Glasgow,GBR
Meeting International circuit FFN - Golden tour,21.57,06/02/2016,Men 50 Freestyle LCM Male,FRA,France,"MANAUDOU, Florent",M,12/11/1990,,,180,184,910,Amiens,FRA
Meeting International circuit FFN - Golden tour,21.57,05/02/2016,Men 50 Freestyle LCM Male,FRA,France,"MANAUDOU, Florent",M,12/11/1990,,,180,185,910,Amiens,FRA
French Elite and Junior Championships,21.57,05/04/2015,Men 50 Freestyle LCM Male,FRA,France,"MANAUDOU, Florent",M,12/11/1990,,,180,186,910,Limoges,FRA
European Championships 2014,21.57,23/08/2014,Men 50 Freestyle LCM Male,FRA,France,"MANAUDOU, Florent",M,12/11/1990,,,180,187,910,Berlin,GER
Maria Lenk Trophy,21.57,22/04/2013,Men 50 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,180,188,910,Rio de Janeiro,BRA
11th Pan Pacific Championships 2010,21.57,21/08/2010,Men 50 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,180,189,914,Irvine,USA
World Aquatics Championships - Fukuoka 2023,21.58,29/07/2023,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,190,190,909,Fukuoka,JPN
European Championships 2022,21.58,17/08/2022,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,190,191,909,Rome,ITA
Swimmeet Amsterdam,21.58,03/07/2021,Men 50 Freestyle LCM Male,NED,Netherlands,"DE BOER, Thom",M,24/12/1991,,,190,192,909,Amsterdam,NED
Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2019,21.58,16/06/2019,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,190,193,909,Barcelona,ESP
SM 2017,21.58,06/07/2017,Men 50 Freestyle LCM Male,FIN,Finland,"LIUKKONEN, Ari-Pekka",M,09/02/1989,,,190,194,909,Tampere,FIN
Tampere Open Swimming Championships 2017,21.58,06/05/2017,Men 50 Freestyle LCM Male,FIN,Finland,"LIUKKONEN, Ari-Pekka",M,09/02/1989,,,190,195,909,Tampere,FIN
16th Pan American Games 2011,21.58,20/10/2011,Men 50 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,190,196,909,Guadalajara,MEX
European Championships 2022,21.59,16/08/2022,Men 50 Freestyle LCM Male,NED,Netherlands,"DE BOER, Thom",M,24/12/1991,,,197,197,908,Rome,ITA
19th FINA World Championships Budapest 2022,21.59,23/06/2022,Men 50 Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,24/04/1999,,,197,198,908,Budapest,HUN
Russian National Championships (50m),21.59,09/04/2021,Men 50 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,197,199,908,Kazan,RUS
USA Winter National Championships (50m),21.59,05/12/2019,Men 50 Freestyle LCM Male,BRA,Brazil,"FRATUS, Bruno",M,30/06/1989,,,197,200,908,Atlanta,USA
